Train loss	Train acc	Test loss	Test acc
0.36251317629009294	0.8927	0.1949692557485786	0.9386
0.1441963462479365	0.9562	0.15811875520517255	0.9492
0.10400434104120655	0.9667	0.1791091133947158	0.9472
0.05931834142453447	0.9809	0.16411383107384656	0.9508
0.04770052627879818	0.9845	0.14154067886857966	0.9583
0.03573173150319345	0.9884	0.1395046589537151	0.961
0.027699062403493152	0.9917	0.13771356021361442	0.9574
0.0140636836369166	0.9966	0.14699316962665113	0.9598
0.020766272723443426	0.9943	0.14676025206783702	0.96
0.01207225147455302	0.997	0.12516056665692166	0.9645
0.00563933218682517	0.999	0.14298757099315515	0.963
0.011832595978208052	0.9969	0.1348926830558493	0.9636
0.00605842268359877	0.999	0.13320412325886358	0.9661
0.006734315740095843	0.998	0.1374477303146311	0.9628
0.0061396915194204755	0.9984	0.13946389913001725	0.9644
0.005316576218991807	0.999	0.12778451308268077	0.9662
0.0065828549071692615	0.9982	0.15398283299405513	0.9587
0.005577459600016291	0.9991	0.13388980100320924	0.9648
0.004764230736119044	0.9986	0.1380262989441226	0.9634
0.006092897785944675	0.9984	0.13733698659451743	0.9657
0.004543263600489635	0.9989	0.13043685917879774	0.966
0.0038544022342654324	0.9992	0.13164828103460197	0.9651
0.011761223542159957	0.9969	0.13154973844438866	0.9661
0.006467108712064482	0.9988	0.13524900351363311	0.965
0.009681060999575528	0.9977	0.15341059392122375	0.9606
0.005804986391453055	0.998	0.1398698114627298	0.9635
0.002733472446524716	0.9995	0.14564073615085918	0.9654
0.0015680428636894311	0.9999	0.129176776370201	0.9666
0.0023368673010174612	0.9998	0.13135275292007711	0.9671
0.0029339455599209983	0.9992	0.12700405054712083	0.9674
0.0025893372867647913	0.9994	0.1275604832300154	0.9681
0.0014985011987666938	0.9999	0.12245446496496704	0.968
0.0026377440654712725	0.9996	0.12908520083215225	0.9673
0.0011166623849803612	1.0	0.12415606918559415	0.9682
0.0011307642922868692	0.9999	0.12309027768961138	0.9674
0.0009336478999021736	0.9999	0.12195458044553346	0.968
0.0007973794634346435	1.0	0.12003634123081443	0.9683
0.0030380967879059108	0.9999	0.12552378944842038	0.9673
0.012135103383104489	0.9962	0.13674106739440475	0.9647
0.0055060128171210455	0.9988	0.13653326524859705	0.9644
0.0023602294597691695	0.9996	0.13788002771586905	0.9658
0.0026928757714622235	0.9996	0.12475508174685755	0.9677
0.0019569641341022244	0.9998	0.13322599790265074	0.9657
0.00221616535946752	0.9999	0.12682100518592562	0.9678
0.006581470627824488	0.9985	0.1341275668242572	0.9661
0.005737318726390701	0.9999	0.1276953533064165	0.9674
0.01194261160036282	0.997	0.12276235029820533	0.9656
0.0036685672963288713	0.9991	0.13096495404010242	0.9642
0.0037909279012782677	0.9992	0.12694479061545882	0.9654
0.007045431841709087	0.9984	0.128984657615124	0.9651
