Train loss	Train acc	Test loss	Test acc
0.8131027267237377	0.7359	0.33829201767399053	0.8984
0.5400950741616024	0.8252	0.2375115672968755	0.9297
0.4444012098061811	0.8594	0.22778965720230607	0.9362
0.3801426753211933	0.8759	0.20400826449084813	0.9399
0.329458565991016	0.894	0.2021111214094481	0.9387
0.31288487606557314	0.8976	0.17301037710658304	0.9463
0.2843734322554746	0.9083	0.1806212417710169	0.9437
0.2700689041120991	0.9106	0.168743835839259	0.9483
0.24964868984404642	0.917	0.16627167267902832	0.9508
0.22607240225574013	0.9297	0.15430620286589974	0.9533
0.22970195437312885	0.926	0.16055543749195755	0.9533
0.23746891732618308	0.9268	0.15033405374403402	0.9575
0.21606960944878828	0.9297	0.16414385235565862	0.9511
0.20312359668077176	0.9372	0.15409308793557108	0.955
0.20221764219414656	0.9349	0.1541231865490413	0.9563
0.19223301556364747	0.9381	0.14483091995642064	0.9597
0.18542883473976401	0.9404	0.14918596605966045	0.9567
0.1919062593655222	0.9391	0.14600450668934803	0.9568
0.170868777806402	0.9486	0.14487097746022282	0.9575
0.17408692931673328	0.9449	0.14289157258667004	0.9589
0.17248488139289958	0.9452	0.15271505534909902	0.9556
0.17100663359757443	0.9432	0.1449770134974532	0.9595
0.15614000047040974	0.9519	0.1429348328806294	0.9589
0.1517993733761417	0.9533	0.16540548936790153	0.9519
0.1625847975919201	0.9483	0.14428445595097106	0.9597
0.15720056049573194	0.9524	0.14009316092368904	0.9613
0.14612147852683524	0.954	0.14974583107622186	0.9576
0.15579127600997877	0.9501	0.14611251441061876	0.9579
0.13869016839393006	0.9562	0.14383580207907756	0.9585
0.14150269679535346	0.9556	0.15007236595176587	0.9582
0.13912310729479524	0.9545	0.1400802595552745	0.961
0.15173088960871575	0.9543	0.1494572721243759	0.9576
0.1287177543209237	0.9591	0.14394372842974582	0.9578
0.14537934803516622	0.9534	0.15951151540206307	0.9531
0.12768365255301925	0.9601	0.14786965215199027	0.9592
0.1381068381237661	0.9544	0.1409409631364	0.9607
0.1321889682536482	0.9577	0.14461379803740865	0.9591
0.13502134353064807	0.957	0.15802251438129764	0.9563
0.13028176693589824	0.9577	0.14893731089890194	0.9564
0.12042499096340435	0.963	0.15662910626121576	0.957
0.12900517311445467	0.9593	0.13993846717332104	0.9614
0.12407906260934605	0.9598	0.15230785413781645	0.9568
0.11994688791833866	0.9619	0.14101532104152262	0.9611
0.12873952488776794	0.9597	0.1449723169741452	0.9599
0.13139027876743845	0.9612	0.14395410157176577	0.9589
0.13279487736001136	0.9565	0.14264109564179875	0.9601
0.11883391145687953	0.9612	0.1460211339382941	0.96
0.11910296837757726	0.9606	0.1414865342229842	0.9598
0.10570042130721223	0.9665	0.14315125627656747	0.959
0.12401268846551135	0.9599	0.1505220267969142	0.9578
